cluster,harm_tags,count
0,economic,4
0,identity_based,1
0,physical,28
0,privacy,3
0,psychological,14
0,reputational,2
0,sexual,5
1,economic,42
1,identity_based,10
1,physical,40
1,privacy,19
1,psychological,5
1,reputational,2
1,sexual,22
2,economic,13
2,identity_based,31
2,physical,45
2,privacy,8
2,psychological,9
2,reputational,8
2,sexual,30
3,economic,25
3,identity_based,46
3,physical,97
3,privacy,15
3,psychological,24
3,reputational,10
3,sexual,67
4,economic,17
4,identity_based,8
4,physical,34
4,privacy,5
4,psychological,12
4,reputational,4
4,sexual,22
