guided_topic,Dating,Gaming,InstantMessaging,SocialMedia
-1_content_report_community_account,33.0,4.0,15.0,58.0
0_safety_community_information_user,12.0,0.0,8.0,18.0
10_information_datum_device_use,5.0,0.0,1.0,7.0
11_harassment_bullying_individual_target,2.0,0.0,2.0,9.0
12_teen_parent_comment_young,0.0,0.0,3.0,10.0
13_spam_server_report_account,2.0,0.0,3.0,8.0
14_account_ban_appeal_error,1.0,2.0,4.0,5.0
15_strike_restriction_policy_violation,1.0,0.0,1.0,9.0
16_appeal_pin_deactivate_request,1.0,0.0,2.0,7.0
17_trans_shame_body_report,10.0,0.0,0.0,0.0
18_animal_violence_violent_harm,2.0,0.0,2.0,5.0
19_misinformation_false_content_health,3.0,0.0,2.0,3.0
1_chat_message_messenger_block,5.0,0.0,27.0,5.0
20_content_edsa_guideline_misinformation,0.0,0.0,0.0,7.0
21_violence_violent_organisation_extremist,1.0,0.0,1.0,4.0
22_request_law_enforcement_user,0.0,0.0,2.0,4.0
23_job_report_select_match,4.0,1.0,0.0,1.0
24_filter_comment_word_message,0.0,0.0,0.0,6.0
25_member_boundary_ghost_feel,5.0,0.0,1.0,0.0
2_game_player_voice_account,0.0,30.0,0.0,0.0
3_suicide_disorder_eat_selfharm,4.0,0.0,2.0,24.0
4_service_term_use_agreement,6.0,6.0,5.0,11.0
5_sexual_consent_explicit_content,11.0,0.0,4.0,11.0
6_post_account_report_violation,0.0,0.0,0.0,25.0
7_hate_protect_speech_group,9.0,0.0,1.0,12.0
8_bully_bullying_student_help,0.0,0.0,0.0,19.0
9_report_click_message_account,2.0,2.0,3.0,9.0
