topic_id,topic_name,tone,harm_types
0,"""Terms of Service and Data Use""","authoritative, preventative, neutral-formal","privacy-related, psychological, reputational"
1,"""User Reporting and Assistance Mechanisms""","supportive, preventative","psychological, reputational, identity-based, privacy-related"
2,"""User Safety and Community Support""","supportive, preventative, directive","psychological, physical, reputational, privacy-related"
3,"""Content Moderation and Policy Enforcement""","authoritative, preventative, directive","psychological, reputational, identity-based, physical, privacy-related"
4,"""Online Gaming Safety for Minors""","preventative, supportive, authoritative","psychological, identity-based, privacy-related, sexual"
5,"""Self-Harm and Mental Health Support""","supportive, preventative","psychological, physical"
6,"""Content Violation Reporting Procedures""","authoritative, preventative, directive","psychological, reputational, privacy-related"
7,"""Nonconsensual Explicit Content Policies""","authoritative, preventative","sexual, psychological, reputational"
8,"""Hate Speech and Identity Protection""","authoritative, preventative","psychological, identity-based, reputational"
9,"""Secure Messaging and Community Interaction""","supportive, preventative","privacy-related, psychological, reputational"
10,"""Anti-Bullying Support Resources""","supportive, preventative","psychological, privacy-related, physical"
11,"""Content Violation and Enforcement Policies""","authoritative, preventative, neutral-formal","psychological, reputational, sexual, privacy-related"
12,"""Parental Guidance for Teen Safety""","supportive, preventative, directive","psychological, privacy-related, sexual, content-related"
13,"""Harassment and Bullying Policies""","authoritative, preventative, directive","psychological, reputational, privacy-related, sexual, identity-based"
14,"""Spam Detection and Reporting Mechanisms""","authoritative, preventative","reputational, privacy-related, psychological"
15,"""Messaging and Communication Controls""","preventative, supportive","psychological, privacy-related"
16,"""Account Suspension and Appeals Process""","authoritative, preventative, supportive","psychological, reputational, privacy-related, identity-based"
17,"""Violent and Graphic Content Policies""","authoritative, preventative","psychological, physical, reputational"
18,"""Misinformation and Public Health Risks""","authoritative, preventative, directive","psychological, physical, reputational, identity-based, public health, content-related"
19,"""Violent Extremism and Hate Policies""","authoritative, preventative","psychological, physical, identity-based"
20,"""Legal Requests for User Data""","authoritative, procedural, preventative","privacy-related, identity-based, psychological, reputational"
21,"""Content Moderation and Filtering Options""","supportive, preventative, authoritative","psychological, reputational"
